Genero,Campesino,Estrato,Autoidentificacion_Etnica,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,Disponibilidad_Equipo,tiempo_segundos,Eje_tematico,Eje Final,Puntaje_eje_tematico_selecionado,linea_1_programacion,linea_2_inteligecia_artificial,linea_3_analisis_de_datos,linea_4_blockchain,linea_5_arquitectura_en_la_nube,linea_1_des_programacion,linea_2_des_inteligecia_artificial,linea_3_des_analisis_de_datos,linea_4_des_blockchain,linea_5_des_arquitectura_en_la_nube,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,area_1_des_alfabetizacion_datos,area_2_des_comunicacion_y_colaboracion,area_3_des_contenidos_digitales,area_4_des_seguridad,area_5_des_solucion_de_problemas,Matriculado (SI o NO),"Estado (FORMADO, NO APROBADO, INACTIVO, EN FORMACION)",Programa de Formación (Nombre del Curso),"Cohorte (1,2,3,4,5,6,7 o 8)","Tipo de formación (PRESENCIAL,VIRTUAL,HIBRIDO)",Nivel,Asistencia horas,Total_horas posibles,dia,mes,year
1.0,0,3,0,2,0,1,0,1,7016,0,0,83.3036,83.3036,80.625,81.25,80.3571,78.9286,0,0,0,0,2,89,88,102,90,84,31,0,0,0,0,0,1,1,5,0,1,2,159,1,16,12,2023
0.0,0,3,0,4,0,0,0,1,7148,2,2,64.2857,65.2679,64.2857,73.4821,68.0357,46.7857,2,2,2,2,1,93,88,100,75,0,15,0,0,0,2,1,1,1,4,0,2,1,159,1,18,12,2023
1.0,0,2,0,2,0,0,0,1,5742,2,2,73.8393,73.8393,73.8393,77.8571,72.7679,71.3393,2,2,2,2,2,95,84,89,74,72,28,0,0,0,2,2,1,2,4,0,2,2,0,1,18,12,2023
1.0,0,2,0,2,0,0,0,1,6540,0,0,85,85,82.9464,80.625,81.3393,81.6964,0,0,0,0,0,83,91,102,92,93,31,0,0,0,0,0,1,2,5,9,2,1,0,1,17,12,2023
1.0,0,3,0,2,0,1,0,1,6503,1,1,76.5179,68.75,73.9286,76.5179,75.625,71.25,2,2,2,2,2,95,93,69,83,70,25,0,0,2,0,2,1,1,1,0,2,2,159,1,17,12,2023
0.0,0,3,0,5,0,0,0,1,7075,4,4,38.0357,56.0714,59.1964,67.5,51.5179,38.0357,1,1,2,1,1,89,87,97,32,0,18,0,0,0,1,1,1,1,2,9,2,2,159,1,18,12,2023
1.0,0,3,0,4,0,0,0,1,7267,1,1,82.1429,82.4107,80,82.1429,80.4464,75,0,2,0,0,2,92,91,105,90,70,29,0,0,0,0,2,1,2,1,0,2,3,0,1,17,12,2023
1.0,0,3,0,2,0,0,0,1,7067,1,1,82.5893,83.8393,81.3393,82.5893,80.8036,79.4643,0,0,0,0,2,92,89,103,89,84,29,0,0,0,0,0,1,1,1,9,2,3,159,1,17,12,2023
0.0,0,1,0,2,0,1,1,1,772,0,0,64.6429,64.6429,62.5893,62.2321,60.8929,62.1429,2,2,2,2,2,67,67,79,66,71,16,2,2,2,2,2,1,2,5,0,2,2,0,1,18,12,2023
1.0,0,3,0,7,0,1,0,1,4755,1,1,50,16.4286,40,50,32.8571,25,1,1,1,1,1,96,88,0,0,0,7,0,0,1,1,1,1,2,1,0,1,1,0,1,18,12,2023
